text,label
이 영화 있는사람 공유 부탁합니다 제 폰번호 010 4427 2774 연락한통만요^-^;,0
"작가때문에 1점 주려다가 영화가 너무 좋아서 10점줌비행기를 끌고 추운곳에다 추락시키는대 애시당초 비행기 자체가""자동항법으로 운행되는대 비밀번호가 필요해 그러니 파괴시켜야해""가 아닌 그냥 자기가 운전해서 가따박음그럴거면 그냥 안전하게 착륙해",0
비밀번호가 뭐야? 서윤내사랑 ㅋ_ㅋ,0
용팔이 시르즈를 볼려면 어떻게 하는지.전화번호좀,0
보다 말았는데 심장 졸라 쫄깃해진다;; 근데 여주 졸라 답답함. 세면대 물기 닦는 철저함도 보였으면서 차번호도 안봐두고...글고 주유소에 불 지르면 될텐데... 글고 쪼매난 총으로 뭐 어쩌려고 미친놈 소굴에 따라가냐,0
"사실을 말해 주지 않아 1점. 막판 없는 주민 번호라 할때 대반전 서스펜스 공포영화인줄 알았으나, 일말의양심도 없이 이도저도 아니었음.개실망. 주인공들이 첨부터 끝까지 개구라만치는 사기극임.",0
이영화만든감독님 전화 번호 아시는분? ㅎㅎㅎㅎ귓속에대고 조근조근한말투로 따뜻한욕 한마디해드리고싶어요,0
"채권맡긴날 그리고 3개월후 채권찾는날, 은행 뒤편의 전광판날짜가 똑같네. 대기번호까지 똑같고...스토리 엉성하고 연기엉성한건 말할것도 없고 -.-;;;90년대 비디오용 영화수준",0
진짜 잼있다 숟가락 번호 맞추기 ㅋㅋ 영화시작 한지 20불만에 눈감고 끝날때까지 피로풀어준 영화 ㅋ,0
"개발연기에, 논리라는 말도 붙이기 민망한 비약. 화투패의 주민번호 소유주가 죽는다. ㅡㅡ 개똥같은...",0
"12년동안 돈많은 남편한테 붙어 있으면서 애인은 따로 두고 죽을 때 되니 사랑하는 애인한텐 못가겠고 남편옆에서 빌붙어있다가 죽기 직전 ""사랑"" 폴더 비밀번호를 알려주면서 남편에게 넌 이것밖에 안되는 놈이었다고 재대로 한방 먹여주고 가버리네 ㅋㅋ",0
"전화번호부 보는 느낌,",0
어사일럼 여기서 만든 영화는 다 이렇다 허접의 진수성찬이라고 할까 모든게 어색하지만 자동차 추격전 봐라 기가 막히다 차 번호도 막 바뀌고 사람 숫자도 틀리고 헬기는 뭔지,0
코메디 인줄.... 테러범이라는 애들이 비밀번호는 죄다 기념일이고 일반인한테 맞고다녀... 진짜 이렇게 허술한 영화는 대학생 동아리에서도 만들겠다 인생죄악의 영화임...,0
이승준 2번 다시 영화 찍지 마라.. 연기 더럽게 못하고 어색하네 18.. 내용도 개 쓰레기고.. 고스톱 점수로 안 나오는 주민 번호 가진 사람들은 뭐냐 장난하나 18,0
"실화여서 더욱 충격, 다시는 어디에서도 일어나서는 안될 경각심을 일깨워주는 영화",1
정말재밋게 봣는대요 어디서 받을수잇조?,1
너무너무재밌게보고있어요! 중간부터 본방사수했지만 스토리가 탄탄하고 흥미진진해서 1화부터 다찾아서 봤네요 배우들 연기도 어디하나빠지는데가없네요 요새는 수백향만챙겨봐요,1
역시 이정도라 도 어디냐 이런거 다시는 보기 힘들거다,1
"개인적으로 메카닉 보다 좀더 잼있었고, 적이 알고보니깐 영화 거침없이 쏴라 슛뎀업에 나온 주인공이라니... 어쩐지 어디서 많이 봤다 했어. ㅋㅋㅋ 그리고, 결말에서 이런 느낌이 나더군요. 오늘의 적이 내일의 친구가 될수있다. ㅋㅋㅋ",1
대체 어디서개봉한거니 너는???,1
내 평생에 이거보다 골때리는 코미디는 못봤음-.- 어디서 방영좀 해주~~,1
레너드...! 쉘든은 어디있는가?,1
"필모 보고 캐놀람.. 내가 본 영화가 절반.그 어디에도 이성민은 없었눈뎅....ㅜ.ㅜ 열심히 사는 사람은 말로가 조쿠나.. 골든타임에서 연기력에 놀람.. 사실 스토리보단 이성민 때문에 봄. 마지막 헬기씬.. 환자 가슴에 청진기 대고,,안들려..압권!",1
근데 코엔형제는 어디갔지,1
황지민(여명)이 기억상실증이란걸 어디서 알수있죠?답변좀요~!,1
2014년 한국사회 안에서 예술가라는 포지션이 어디쯤에 위치하고 있는가에 대해서 깊게 생각하게 만든다.,1
역시 김기덕 감독님 보는내내 욕을 안할수 없는 영화 이 영화에 나오는 모든 인물들이 미친듯하다 어디서부터 잘못된걸까,1
당시 코메디 제왕은 박중훈..이거 다시 보고 싶은데 어디 구할때 없나..,1
